country,demonym
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Andorra,Andorran
Angola,Angolan
Argentina,Argentine
Armenia,Armenian
Australia,Australian
Austria,Austrian
Azerbaijan,Azerbaijani
Bahamas,Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbadian
Belarus,Belarussian
Belgium,Belgian
Belize,Belizean
Benin,Beninese
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian
Botswana,Botswanan
Brazil,Brazilian
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabe
Burundi,Burundian
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Cape Verde,Cape Verdean
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
China,Chinese
Colombia,Colombian
Comoros,Comorian
Congo,Congolese
Costa Rica,Costa Rican
Croatia,Croatian
Cuba,Cuban
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Danish
Djibouti,Djiboutian
Dominica,Dominican
Dominican Republic,Dominican
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
Estonia,Estonian
Eswatini,Swazi
Ethiopia,Ethiopian
Fiji,Fijian
Finland,Finnish
France,French
Gabon,Gabonese
Gambia,Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Greece,Greek
Grenada,Grenadian
Guatemala,Guatemalan
Guinea,Guinean
Guyana,Guyanese
Haiti,Haitian
Honduras,Honduran
Hungary,Hungarian
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Israel,Israeli
Italy,Italian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakh
Kenya,Kenyan
Kuwait,Kuwaiti
Kyrgyzstan,Kyrgyz
Laos,Lao
Latvia,Latvian
Lebanon,Lebanese
Lesotho,Basotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtensteiner
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivian
Mali,Malian
Malta,Maltese
Mauritania,Mauritanian
Mauritius,Mauritian
Mexico,Mexican
Moldova,Moldovan
Monaco,Monegasque
Mongolia,Mongolian
Montenegro,Montenegrin
Morocco,Moroccan
Mozambique,Mozambican
Myanmar,Burmese
Namibia,Namibian
Nepal,Nepalese
Netherlands,Dutch
New Zealand,New Zealander
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
North Korea,North Korean
North Macedonia,Macedonian
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Panama,Panamanian
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Filipino
Poland,Polish
Portugal,Portuguese
Qatar,Qatari
Romania,Romanian
Russia,Russian
Rwanda,Rwandan
Saint Lucia,Saint Lucian
Samoa,Samoan
San Marino,Sammarinese
Saudi Arabia,Saudi
Scotland,Scottish
Senegal,Senegalese
Serbia,Serbian
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Singapore,Singaporean
Slovakia,Slovak
Slovenia,Slovenian
Somalia,Somali
South Africa,South African
South Korea,South Korean
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamese
Sweden,Swedish
Switzerland,Swiss
Syria,Syrian
Taiwan,Taiwanese
Tajikistan,Tajik
Tanzania,Tanzanian
Thailand,Thai
Togo,Togolese
Trinidad and Tobago,Trinidadian
Tunisia,Tunisian
Turkey,Turkish
Turkmenistan,Turkmen
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,Emirati
United Kingdom,British
United States,American
Uruguay,Uruguayan
Uzbekistan,Uzbek
Venezuela,Venezuelan
Vietnam,Vietnamese
Wales,Welsh
Yemen,Yemeni
Zambia,Zambian
Zimbabwe,Zimbabwean
